Unique, e.g. BJ001;Must match Cities sheet;English name;中文名 (for taxis & maps);BJ001_cover.jpg;attraction / restaurant / experience / shopping / nightlife;2-3 objective sentences;What makes this special?;Practical tips for foreigners;Scams, closures, things to know;Comma-separated;Decimal, e.g. 39.9163;Decimal, e.g. 116.3972;Neighborhood name;"e.g. 08:30-17:00, or ""24h""";;Realistic visit time (minutes);"0=free, 1=cheap, 2=mid, 3=expensive; 4; 5";indoor / outdoor;any / daytime/ morning / afternoon / evening ;Comma-sep: solo, couple, freinds, family, elderly;best months for visit;YES / NO;1-5 scale (5=very friendly);
BJ042;BJ;touch;touch;BJ042_cover.jpg;nightlife;"A niche, contemporary lounge and bar often associated with the electronic music and sleek ""cyber"" aesthetic found in Beijing’s newer nightlife spots.";Cutting-edge lighting design and underground DJ sets.;Keep an eye on their guest DJ lineup for local techno and house talent.;"The music can be quite niche; check the genre before heading in.";Bar, Modern, Entertainment, Immersive;39.9310;116.4510;Chaoyang;21:00;4:00;180;2;indoor;evening;solo, couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
BJ043;BJ;White Dagoba Temple (Miaoying Temple);白塔寺;BJ043_cover.jpg;attraction;Famous for its massive white stupa. The best way to enjoy it is from a nearby rooftop cafe with a coffee in hand.;Rooftop cafe views, historic white stupa, peaceful courtyard neighborhoods.;The White Pagoda of Miaoying Temple is the largest and oldest existing Tibetan-style pagoda in China. The surrounding cafes offer stunning rooftop views.;Closed on mondays. A ticket is required to enter the White Pagoda Temple.;Historical, Religious, Photography;39.9239;116.3634;Xicheng;9:00;17:00;60;1;outdoor;afternoon;solo, couple;3,4,5;NO;4;
BJ044;BJ;Hopson One;合生汇;BJ044_cover.jpg;shopping;"A popular mall known for its massive basement ""Night Food Street,"" which stays open late and offers endless dining options.";"""21st Block"" underground food street, luxury brands, massive atrium events.";A paradise for anime lovers, perfect for young people to enjoy a one-stop shop for food, drinks, and entertainment. A hub for many trendy toy brands (such as Pop Mart).;The mall is very large, so I recommend wearing comfortable shoes. It gets crowded on weekends, so it's recommended to go during off-peak hours.;Modern, Entertainment, Foodie;39.8925;116.4795;Chaoyang;10:00;22:00;180;2;indoor;daytime;solo, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
BJ045;BJ;Silk Street Market;秀水街;BJ045_cover.jpg;shopping;A legendary market for silk, custom suits, and souvenirs. It’s a favorite for international tourists looking for high-quality bargains.;Custom-made suits, silk products, jewelry bargains.;The online store, catering to foreign visitors, offers souvenirs such as export-oriented clothing and silk products.;Product quality varies.;Modern, Citywalk, Local Life;39.9104;116.4415;Chaoyang;10:00;21:00;120;2;outdoor;any;solo, couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
BJ046;BJ;Beijing University;北京大学;BJ046_cover.jpg;attraction;The site of Peking University was originally the royal garden (Yan Garden) of the Ming and Qing dynasties. The campus has towering ancient trees, Chinese-style pavilions and Western-style red brick buildings.;Boya Tower (water tower), Weiming Lake, Peking University Library. West Gate plaque, Jingyuan lawn.;Walk to the shore of Weiming Lake, circle the lake, and admire the reflection of Boya Pagoda in the water, framed by weeping willows. In autumn, the campus is carpeted with ginkgo leaves, making it a perfect spot for a stroll and taking photos.;Very difficult to get a reservation during peak seasons. Academic buildings are restricted.;Historical, Architecture, Culture, Landmark, Photography;39.9913;116.3051;Xicheng;24h;24h;60;1;outdoor;daytime;solo, couple;9,10,11;YES;2;
BJ047;BJ;destination;destination;BJ047_cover.jpg;nightlife;Beijing’s most famous and longest-running LGBTQ+ club and cultural center. It features multiple floors ranging from a high-energy dance floor to art gallery spaces.;"The ""Art Center"" exhibitions and the legendary weekend circuit parties";"Check their official WeChat for specific ""Theme Nights"" which can vary from drag shows to art talks.";It gets extremely crowded after midnight on Saturdays. Open from Wednsday to Sunday.;Bar, Entertainment, Modern, Art, Immersive;39.9235;116.4485;Chaoyang;20:00;4:00;180;2;indoor;evening;solo, couple, friends;6;NO;5;
BJ048;BJ;Aoga Art Museum;奥加美术馆;BJ048_cover.jpg;experience;A sleek, contemporary art museum near Sanlitun. It’s a quiet escape for those looking to see unique exhibitions away from the crowds.;Contemporary art exhibitions, sleek interior design, quiet creative escape.;A boutique private gallery often showcasing contemporary art and design exhibitions.;Check current exhibition schedules online before visiting.;Art, Museum, Photography;39.9409;116.4481;Chaoyang;10:00;17:00;60;0;indoor;daytime;solo, couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;3;
BJ049;BJ;Jolly Jolly;Jolly Jolly;BJ049_cover.jpg;shopping;"A trendy lifestyle and toy boutique popular with Beijing’s youth for its creative designs and ""Instagrammable"" vibe.";Designer toy collections, quirky lifestyle products, trendy pop-culture vibes.;Gift shops hidden in Beijing's hutongs offer a wide selection of original design items.;The opening hours of branches at different addresses are different.;Modern, Dessert, Instagram;39,8974;116,4076;Chaoyang;11:30;20:30;30;1;indoor;evening;solo, couple;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
SH001;SH;The Bund;外滩;SH001_cover.jpg;attraction;Stretching along the Huangpu River, the Bund is a waterfront lined with historic buildings reflecting Shanghai’s past. It offers one of the most iconic skyline views in the city.;one of the most iconic places, river view, past and present;"Visit at sunset or evening for the best views. Easy to combine with a river cruise or Lujiazui.	";Very crowded at night and weekends. ;Must-see, Photography, Skyline, Instagram, River View;31.2400;121.4900;Huangpu;24h;24h;60;0;outdoor;evening;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;5;
SH002;SH;Oriental Pearl Tower;东方明珠广播电视塔;SH002_cover.jpg;attraction;Rising in the Lujiazui district, the Oriental Pearl Tower is one of Shanghai’s most recognizable landmarks. Its observation decks offer sweeping views of the city skyline.;Glass observation deck, skyline views;Buy tickets online to skip queues. Visit on a clear day for better visibility.;Can be crowded during peak hours. ;Must-see, Photography, Skyline, Landmark, Instagram;31.2397;121.4998;Pudong;09:00;21:00;90;2;indoor;afternoon;solo, couple, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
SH003;SH;Museum of Art Pudong;浦东美术馆;SH003_cover.jpg;attraction;"Museum of Art Pudong is a modern museum located along the riverfront, showcasing international exhibitions and contemporary art. Its architecture and location make it a highlight itself.	";contemporary art, architecture, exhibitions;Information brochures and exhibition guides can be collected for free at the escalator entrance or the exhibition hall entrance. These manuals provide both Chinese and English for easy reference at any time. The art museum also offers a paid VIP English guided tour service, which can be booked in advance.;"Some exhibitions require separate tickets. Closed on certain days.	";Art, Culture, Museum;31.2350;121.5050;Pudong;10:00;21:00;120;0;indoor;afternoon;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
SH004;SH;Nanjing Road Pedestrian Street;南京路步行街;SH004_cover.jpg;shopping;Nanjing Road Pedestrian Street is one of the busiest shopping streets in China, filled with global brands and local stores. It offers a lively atmosphere both day and night.;Shopping street, neon lights, pedestrian zone;"Visit in the evening for the best atmosphere. Keep belongings secure.	";"Extremely crowded, especially on weekends. Prices can be higher.	";Photography, Must-see, Citywalk, Local Life;31.2353;121.4805;Huangpu;24h;00:00;120;0;outdoor;evening;solo, couple, friends, family;3,4,5,6,7,8,9,10,11;NO;4;
SH005;SH;Shanghai Ocean Aquarium;上海海洋水族馆;SH005_cover.jpg;attraction;"Shanghai Ocean Aquarium features marine life from around the world, including a popular underwater tunnel. It is one of the largest aquariums in Asia.	";marine life, tunnel aquarium, family-friendly;Allow 1–2 hours. Good indoor option on rainy days.;Can be crowded with families and school groups.;Nature, Entertainment;31.2355;121.4995;Pudong;09:00;18:00;90;2;indoor;afternoon;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
SH006;SH;"Huangpu River Cruise
";黄浦江轮渡;SH006_cover.jpg;experience;A Huangpu River cruise offers a unique way to see Shanghai’s skyline from the water. It connects views of the Bund and modern Pudong.;river cruise, night view;Book evening tickets for the best experience. Bring a jacket in cooler seasons.;"Tickets may sell out during peak times. Weather can affect schedules.	";Must-see, River View, Instagram, Skyline;31.2400;121.4900;Huangpu;06:00;23:00;60;2;outdoor;evening;couple, friends, family;3,4,5,6,7,8,9,10,11;YES;4;
SH008;SH;Paulaner Restaurant;宝莱纳餐厅(陆家嘴店);SH008_cover.jpg;restaurant;"Paulaner Restaurant offers German-style food with beer and a lively atmosphere. It is popular among both locals and international visitors.	";beer, western food, lively vibe;Visit in the evening for the full experience. Busy on weekends.;Reservations recommended on weekends. Can be noisy and crowded during dinner time.;Must-try, Foodie, Cuisine, Bar;31.2250;121.4500;Pudong;11:00;01:00;60;2;indoor;evening;solo, couple, friends;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
SH010;SH;Yuyuan Food Street;豫园小吃街;SH010_cover.jpg;experience;Yuyuan Food Street is a lively area offering a variety of traditional Shanghai snacks. It is a popular spot for tasting local flavors.;Local snacks, street food, cultural vibe;Try small dishes from different stalls. Keep mobile payment ready.;Very crowded. Best in evening.;Must-try, Foodie, Cuisine, Local Snacks;31.2275;121.4920;Huangpu;09:00;21:00;90;1;outdoor;any;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;3;
SH011;SH;Yuyuan Garden;上海豫园;SH011_cover.jpg;attraction;"Yuyuan Garden is a classical Chinese garden with traditional architecture and peaceful scenery. It provides a contrast to the busy city outside. This classical garden dates back to the Ming dynasty and features traditional design.	";Traditional garden, architecture, classical ;Visit early to avoid crowds. Combine with nearby attractions.;Closed every Monday. Can be crowded during holidays.;Must-see, Historical, Architecture, Culture;31.2270;121.4927;Huangpu;09:00;16:30;120;1;outdoor;morning;solo, couple, friends, family, elderly;3,4,5,6,7,8,9,10,11;YES;4;
SH012;SH;Chenghuang Temple (City God Temple);上海城隍庙;SH012_cover.jpg;attraction;"Chenghuang Temple is a historic temple area surrounded by local shops and markets. It reflects traditional Shanghai culture and daily life.	";Temple complex, local culture, shopping;Explore surrounding streets for snacks and souvenirs.;Crowded and commercialized area.;Religious, Historical, Culture;31.2280;121.4930;Huangpu;08:30;16:30;90;0;outdoor;morning;solo, elderly;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
SH013;SH;Shanghai Disney Resort;上海迪士尼度假区;SH013_cover.jpg;experience;Shanghai Disney Resort is a large theme park offering rides, shows, and entertainment. It is a popular destination for families and visitors.;Rides, shows, theme park;"Arrive early and use fast passes. Plan your day in advance.	Tickets required.";Very crowded during weekends.;Immersive, Entertainment, Must-see;31.1434;121.6570;Pudong;08:00;21:30;240;3;outdoor;any;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
SH014;SH;Shanghai Zoo;上海动物园;SH014_cover.jpg;attraction;Shanghai Zoo houses animals from around the world in a large green setting. It is a relaxing place for families and nature lovers.;Animals, outdoor space;Best visited in the morning. Wear comfortable shoes.;Some areas may be under maintenance.;Zoo, Entertainment;31.1960;121.3600;Changning;08:00;17:00;120;1;outdoor;morning;solo, friends, family;3,4,5,6,7,8,9,10,11;NO;4;
SH015;SH;Shanghai Natural History Museum;上海自然博物馆;SH015_cover.jpg;attraction;"Shanghai Natural History Museum features interactive exhibits on science and nature. It is one of the most modern museums in the city. With interactive exhibits, this museum focuses on science and natural history.	";Interactive exhibits, science;Allow at least 2 hours. Good for indoor visits.;Closed every Tuesday. ;Museum, Nature, Immersive;31.2340;121.4680;Jing’an;09:00;17:00;90;1;indoor;afternoon;solo, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
SH016;SH;Shanghai Museum;上海博物馆;SH016_cover.jpg;attraction;Shanghai Museum displays ancient Chinese art and historical artifacts. It is one of the most important museums in China. The museum holds over 1.02 million cultural relics, including more than 145,000 precious items. The collection spans 33 categories, covering representative artefacts of outstanding traditional Chinese culture.;Bronze ware, ceramics, calligraphy;Free entry but arrive early. Audio guides available.;Closed every Monday. ;Museum, Historical, Culture, Must-see;"31.2304	";121.4737;Huangpu;09:00;17:00;120;0;indoor;afternoon;solo, couple, friends, family, elderly;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
SH017;SH;Shanghai Film Museum;上海电影博物馆;SH017_cover.jpg;attraction;Shanghai Film Museum showcases the history of Chinese cinema. It offers interactive displays and exhibitions.;film, media, interactive exhibits;Check opening times before visiting. Less crowded than major museums.;Closed every Monday. ;Museum, Modern, Culture;31.1800;121.4300;Xuhui;09:30;17:00;90;1;indoor;any;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;3;
SH018;SH;World Expo Museum;上海世博会博物馆;SH018_cover.jpg;attraction;World Expo Museum presents the history of global exhibitions and Shanghai Expo. It offers educational and interactive displays.;Expo history, global culture;Combine with nearby riverside walk.;Closed every Monday. ;Museum, Modern, Culture;31.1900;121.5000;Huangpu;09:00;17:00;120;0;indoor;any;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;5;
SH019;SH;Yuxingji Crab Noodles;裕兴记.蟹黄面馆(八佰伴店);SH019_cover.jpg;restaurant;Yuxingji Crab Noodles is known for rich crab-based dishes. It is popular for local-style noodles.;Crab noodles, local cuisine;Visit outside peak hours.;Can be crowded at meal times.;Cuisine, Must-try, Foodie, Local Snacks;31.2300;121.5200;Pudong;09:00;21:00;60;2;indoor;afternoon;solo, couple, friends, family;3,4,5,6,7,8,9,10,11;NO;3;
SH020;SH;SPACELAB Restaurant;SPACELAB失重餐厅(正大广场店) ;SH020_cover.jpg;experience;This themed restaurant delivers food via automated systems for a fun experience. It is popular among younger visitors.;Robot service, interactive dining, novelty;The automated serving system is part of the experience, so allowing extra time to enjoy the process is worthwhile. It works well as a casual dining stop when visiting nearby attractions in Lujiazui.;Slightly expensive, less appealing for those seeking a traditional dining atmosphere.;Immersive, Entertainment, Cuisine;31.2390;121.4990;Pudong;11:00;21:00;60;2;indoor;evening;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;3;
SH021;SH;Shanghai Tower;上海中心大厦;SH021_cover.jpg;attraction;Standing in Lujiazui, this skyscraper is one of the tallest buildings in China. It is a key landmark in Pudong.;Observation deck, skyline views;Visit during clear weather. Tickets required.;Visibility depends on weather.;Skyline, Landmark, Modern, Photography;31.2336;"121.5055	";Pudong;08:00;21:00;90;2;indoor;afternoon;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
SH022;SH;Shanghai World Financial Center;环球金融中心;SH022_cover.jpg;attraction;"Shanghai World Financial Center features a famous skywalk observation deck. It offers unique views of the city.	";Glass skywalk, skyline views;Visit outside peak hours. Tickets required.;Best in clear weather.;Skyline, Landmark, Modern;31.2355;121.5010;Pudong;10:00;22:00;90;2;indoor;afternoon;solo, couple, friends;;YES;4;
SH023;SH;Jin Mao Tower;金茂大厦;SH023_cover.jpg;attraction;This iconic tower combines office space with a popular viewing platform. Its observation deck offers views over Shanghai.;Observation deck, architecture;"Combine with nearby towers.	Tickets required.";Best in clear weather.;Architecture, Skyline, Landmark;31.2333;121.5051;Pudong;08:30;21:30;90;2;indoor;afternoon;solo, couple, friends;;YES;4;
SH024;SH;Nanxiang Xiaolongbao;南翔馒头店(城隍庙店);SH024_cover.jpg;restaurant;A famous restaurant near Yuyuan Garden and Chenghuang Temple known for traditional xiaolongbao. It is a must-try local food experience.;Xiaolongbao, local food, famous Chinese snacks;Expect queues during peak hours.;Busy year-round.;Local Snacks, Must-try, Foodie;31.2285;121.4935;Huangpu;07:30;20:00;60;1;indoor;afternoon;solo, couple, friends, family;;NO;4;
SH025;SH;Lvbolang Restaurant;绿波廊;SH025_cover.jpg;restaurant;"This restaurant offers classic Shanghai cuisine with views of Yuyuan Garden. It is known for traditional dishes.	";Garden view, local cuisine;A good place to sit down for a traditional meal after exploring the area.;"Reservations recommended.	More expensive than average.";Cuisine, Culture, Historical;31.2278;121.4932;Huangpu;Lunch: 11:00, Dinner: 17:00;Lunch:14:00, Dinner: 21:00;120;2;indoor;afternoon;couple, friends, family;1,2,3,4,5,6,9,10,11,12;NO;4;
SH026;SH;Yang’s Dumplings;小杨生煎(上海宁波路店);SH026_cover.jpg;restaurant;"Located near Nanjing Road, this restaurant is a popular spot for Shanghai-style fried dumplings. It is known for quick and affordable meals.	";Fried dumplings, street food;"Good for a quick bite.	";Can be crowded at meal times.;Local Snacks, Takeaway, Must-try;31.2358;121.4806;Huangpu;06:30;23:30;60;1;indoor;any;solo, couple, friends, family;;NO;3;
SH027;SH;Duolun Road Cultural Celebrity Street;"多伦路文化名人街
";SH027_cover.jpg;attraction;This historic street features old buildings and cultural heritage spots. It offers a quieter atmosphere.;Historic street, culture;Best for walking and photography. Best combined with nearby attractions.;The street is relatively small and may feel less lively than other tourist spots. Some buildings may not be open to the public.;Historical, Culture, Citywalk;31.2700;121.4800;Hongkou;24h;24h;60;0;outdoor;afternoon;solo, couple, friends, family;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
SH028;SH;The Stage at Magnolia Plaza (Observation Deck);白玉兰观景台;SH028_cover.jpg;experience;An observation deck offering views over the Huangpu River and skyline. It is a modern viewing platform.;observation, skyline;This observation deck offers a close view of the Bund and surrounding skyline. It’s less crowded than major towers and is a good alternative for photography. Visit around sunset for the best lighting.;Entry usually requires a ticket, and access may depend on opening hours. Visibility can be affected by weather conditions. It may not be as high as other observation decks.;Skyline, River View, Photography;31.2405;121.4905;Hongkou;10:00;22:00;60;2;indoor;evening;solo, couple, friends;;YES;4;
SH029;SH;Century Park;世纪公园;SH029_cover.jpg;attraction;Century Park is the largest park in Shanghai, offering green space and lakes. It is ideal for relaxation and outdoor activities.;Park, cycling, nature;Rent a bike to explore.;Large area requires time.;Park, Nature, Local Life;31.2220;121.5400;Pudong;24h;24h;90;0;outdoor;morning;solo, couple, friends, family, elderly;3,4,5,6,7,8,9,10,11;NO;5;
SH030;SH;Rodin Art Center;罗丹艺术中心;SH030_cover.jpg;attraction;A small art center featuring sculptures and temporary exhibitions.;"Sculptures, art	";Check exhibitions before visiting.;Closed every Monday. Less known attraction.;Art, Modern;31.2100;121.4500;Xuhui;10:00;18:00;60;1;indoor;afternoon;solo, couple, friends;1,2,3,4,5,6,7,8,9,10,11,12;YES;4;
SH031;SH; China Art Museum (Shanghai);上海美术馆（中华艺术宫）;SH031_cover.jpg;attraction;This major art museum displays modern Chinese art in a spacious setting. The total construction area reaches 166,800 square metres, with nearly 70,000 square metres of exhibition space, divided into six exhibition levels and 35 exhibition halls.;Chinese painting, oil painting, calligraphy, printmaking, sculpture, shadow puppetry;"Start from the lower floors, where many temporary and highlight exhibitions are located. Then continue upward by elevator to explore the higher levels, including the multimedia version of ""Along the River During the Qingming Festival."" The museum is quite large, so using elevators and following the internal signs helps make navigation easier.";Closed every Monday.;Art, Museum, Modern;31.1850;121.4900;Pudong;10:00;18:00;120;0;indoor;afternoon;solo, couple, friends;1,2,3,4,5,6,7,8,9,10,11,12;NO;4;
SH032;SH;Aurora Museum;上海震旦博物馆;SH032_cover.jpg;attraction;Located near Lujiazui, this museum showcases private collections and art. It reveals the rich cultural connotations of historical relics to the audience.;Buddhist sculptures, jade, pottery, blue and white porcelain;The library and archive room on the fifth floor of the Aurora Museum houses a wealth of books on cultural heritage, including a large collection of rare materials in English and Japanese, available for viewing by professionals through appointment.;Closed every Monday. Check opening hours. Limited exhibitions.;Art, Museum, Modern;31.2358;121.5070;Pudong;10:00;17:00;90;1;indoor;afternoon;solo, couple, friends;;YES;4;
SH033;SH;Jing’an Temple;静安寺;SH033_cover.jpg;attraction;"It is a well-known Buddhist temple in central Shanghai. It blends tradition with a modern setting. It is the oldest Buddhist temple in Shanghai, and its architectural style is modeled after structures from before the Ming Dynasty, with the bracket system serving as a prime example.	";Bell Tower, Drum Tower, Dharma Hall, white marble railing;Visit in the morning.;Entrance fee required.;Religious, Historical, Culture;31.2240;121.4450;Jing’an;07:30;17:00;60;1;outdoor;morning;solo, couple, friends, family, elderly;;NO;3;
SH034;SH;Longhua Pagoda;龙华塔;SH034_cover.jpg;attraction;Longhua Pagoda is part of an ancient temple complex. It is one of the oldest structures in Shanghai.;A blend of Chinese and foreign architectural cultures;Combine with temple visit.;Less central location.;Historical, Religious, Architecture;31.1680;121.4500;Xuhui;07:00;23:00;60;1;outdoor;morning;solo, couple, friends, family, elderly;;NO;3;
SH035;SH;Xujiahui Cathedral ;徐家汇天主教堂;SH035_cover.jpg;attraction;Xujiahui Catholic Church is the largest Catholic church in Shanghai, a typical Gothic-style building, and the first Catholic church in China built according to Western architectural methods.;Church, Gothic-style building;Check visiting hours. Limited access times.;Closed every Monday.;Religious, Architecture, Historical;31.2000;121.4400;Xuhui;09:00;16:00;60;0;indoor;morning;solo, couple, family, elderly;;NO;5;
SH036;SH;Wukang Road Historic Street;武康路历史文化名街;SH036_cover.jpg;attraction;This street is known for its historic villas and tree-lined sidewalks. It is popular for walking and photography.;"Historic street, cafes, walking	";Best for slow walks.;The area can get crowded, especially around popular photo spots. Traffic still passes through, so be careful when walking. Weekends are busier than weekdays.;Citywalk, Architecture, Photography, Local Life, Instagram;31.2105;121.4350;Xuhui;24h;24h;90;0;outdoor;afternoon;solo, couple, friends, family;;NO;5;
SH037;SH;Rong Cuisine;荣小馆(上海新天地北里店);SH037_cover.jpg;restaurant;Located in the Xintiandi area, this restaurant serves refined Jiangnan-style dishes in an elegant setting. It offers a more upscale dining experience.;Local cuisine, fine dining, Jiangnan dishes;Reservations recommended.;More expensive.;Cuisine, Foodie, Must-try;31.2220;121.4790;Huangpu;11:00;22:00;120;3;indoor;evening;couple, friends, family;;NO;4;
SH038;SH;Binjiang Riverside Promenade;滨江大道;SH038_cover.jpg;experience;Binjiang Riverside Promenade is a scenic riverside walkway with skyline views. It is popular for walking and cycling.;Fountain Square, Huangpu River, three-dimensional design;"Visit at sunset.	";During the typhoon season every summer, the section of Binjiang Avenue near Dongchang Road is prone to flooding and cannot be walked along the riverside at that time.;River View, Citywalk, Photography;31.2350;121.5200;Pudong;24h;24h;60;0;outdoor;evening;solo, couple, friends, family, elderly;3,4,5,6,7,8,9,10,11;NO;4;
SH039;SH;Shanghai Circus World;上海马戏城;SH039_cover.jpg;experience;Shanghai Circus World hosts acrobatic shows and performances. It is a popular entertainment venue.;Acrobatics and circus performances;Book tickets in advance.;Shows may sell out.;Entertainment, Immersive;31.2800;121.4700;Jing’an;19:30;21:00;90;2;indoor;evening;solo, couple, friends, family;;YES;3;
SH040;SH;Gongqing Forest Park;上海共青森林公园;SH040_cover.jpg;attraction;This Park offers large green spaces and outdoor activities. It is a peaceful escape from the city.;The park is characterised by its forest landscape.;Ideal for picnic. Bring snacks and water.;Far from city center.;Park, Nature;31.3100;121.5200;Yangpu;05:00;18:00;120;0;outdoor;morning;solo, family, elderly;3,4,5,6,7,8,9,10,11;NO;3;
SH041;SH;Shanghai Oriental Art Center;上海东方艺术中心;SH041_cover.jpg;experience;"This modern concert hall hosts performances and cultural events. It is known for its modern design.	";Performances by large symphony orchestras and choirs, as well as various solo and recital concerts;It’s easily accessible by metro and best visited in the evening. Allow time to appreciate the building’s architecture.;Tickets are required for performances and may sell out quickly. There is limited activity outside show times. Arrive early to avoid last-minute entry queues.;Art, Modern, Architecture;31.2200;121.5500;Pudong;09:00;20:00;90;2;indoor;evening;solo, couple, friends, family;;YES;4;
SH042;SH;Xintiandi;新天地 ;SH042_cover.jpg;nightlife;"It is a stylish area with shops, restaurants, and nightlife. It blends historic buildings with modern lifestyle.	";Dining, nightlife, shopping;Great for evening visits.;More expensive than average.;Citywalk, Local Life, Modern, Bar;31.2200;121.4800;Huangpu;24h;24h;90;3;outdoor;evening;solo, couple, friends;;NO;5;
SH043;SH;Tianzifang;田子坊;SH043_cover.jpg;shopping;"It is a creative area with narrow alleys and small shops. It is popular for souvenirs and cafes.	";Art shops, alleyways;Explore side streets.;Very crowded.;Citywalk, Culture, Photography, Local Life;31.2100;121.4700;Huangpu;24h;24h;90;0;outdoor;afternoon;solo, couple, friends;;NO;3;
SH044;SH;M50 Creative Park;M50创意园;SH044_cover.jpg;attraction;This creative park is home to galleries, studios, and exhibitions. It is popular among art lovers.;Galleries, modern art;Check opening times.;Some studios closed.;Art, Modern, Photography;31.2200;"121.4300	";Putuo;08:00;22:00;90;0;indoor;afternoon;solo, friends;;NO;4;
SH045;SH;People’s Square;人民广场;SH045_cover.jpg;attraction;People’s Square is a central public space surrounded by major landmarks. It is a hub of city life.;Camphor trees, cedars, white magnolias and other evergreen shrubs;Located in the city center, People’s Square is well connected by multiple metro lines, making it a convenient starting point for exploring Shanghai. Visit in the morning or late afternoon for a more relaxed atmosphere, and consider combining it with nearby attractions like Shanghai Museum or Nanjing Road.;The area can get very crowded, especially on weekends and public holidays. The underground shopping area can be confusing to navigate, so follow clear exit signs.;Landmark, Culture, Local Life;31.2304;121.4737;Huangpu;24h;24h;60;0;outdoor;afternoon;solo, couple, family;;NO;4;
SH046;SH;Suzhou Creek Riverside;苏州河滨水空间;SH046_cover.jpg;experience;Suzhou Creek Riverside is a redeveloped waterfront area for walking and leisure. It offers a quieter alternative to the Bund.;Riverside, walking;Good for a relaxed walk.;Less lively at night.;River View, Citywalk, Photography;31.2400;121.4500;Huangpu;07:00;21:00;60;0;outdoor;evening;solo, couple, friends;;NO;3;
SH047;SH;Din Tai Fung;鼎泰丰(新天地时尚一期店);SH047_cover.jpg;restaurant;A well-known restaurant serving Taiwanese-style dumplings. Located in Xintiandi, this restaurant is known for its famous soup dumplings and consistent quality.;"It is popular among international visitors.	";Queues expected. Often combined with nearby shopping and sightseeing areas.;Can be crowded at meal times.;Cuisine, Must-try, Foodie;31.2215;121.4785;Huangpu;11:00;21:30;60;2;indoor;any;solo, couple, friends, family;;YES;5;
SH048;SH;North Bund Green Land;北外滩滨江绿地 ;SH048_cover.jpg;attraction;North Bund Green Land offers open green space with skyline views. It is less crowded than the Bund.;Offers great views of the Lujiazui architectural complex across the Huangpu River from multiple angles;Less crowded than the Bund. Best in evening.;Facilities are more limited compared to central areas. The area may feel less lively at night.;River View, Skyline, Photography;31.2500;121.5000;Hongkou;06:00;22:00;60;0;outdoor;evening;solo, couple, friends, family;;NO;4;
SH049;SH;Lu Xun Park;鲁迅公园;SH049_cover.jpg;attraction;Lu Xun Park is a public park dedicated to the famous writer. It reflects local daily life.;Popular for walking and relaxation.;A popular local park where you can experience daily life in Shanghai, especially in the morning. You may see people practicing tai chi, singing, or dancing. It’s a good place for a short, relaxing visit.;Facilities are simple and not designed as a major tourist attraction.;Park, Historical, Local Life;31.2700;121.4800;Hongkou;05:00;21:00;60;0;outdoor;morning;solo, friends, family, elderly;;NO;4;
SH050;SH;Sinan Mansions;思南公馆;SH050_cover.jpg;attraction;This area features restored historic buildings and cafés. It is known for its relaxed atmosphere.;Cafes, historic buildings;This area features restored historic villas with cafés, restaurants, and small cultural spaces. It’s best explored on foot and works well as a stop in a French Concession itinerary. Late afternoon is a good time to enjoy the atmosphere.;Some venues may have limited opening hours. It can feel quiet during weekdays.;Citywalk, Historical, Architecture, Photography;31.2100;121.4600;Huangpu;10:00;22:00;90;0;outdoor;afternoon;solo, couple, friends, family;;NO;5;
XA001;XA;The Grand Tang Mall;大唐不夜城;XA001_cover.jpg;attraction;Great Tang All Day Mall is a large Tang-style pedestrian street inspired by the prosperous Tang Dynasty. At night, its bright lights, performances, and cultural activities recreate the romance and vitality of ancient Chang’an.;Asia’s largest matrix fountain, live shows, historical NPCs, live tumbler performance, Hanfu rental;Performances are usually held between 19:00 and 23:00. The area is large, so wear comfortable shoes. It is useful to bring some cash.;Performance times may change, so check the official schedule in advance. It gets very crowded on public holidays, and driving is not recommended.;Imperial, Must-see, Culture, Entertainment, Citywalk;34.2130;108.9646;Yanta;24h;24h;180;0;outdoor;evening;solo, couple, family;3,4,5,9,10,11;NO;5;
